ìsìπï{åß,2016/é¿âÑí∑,2016/ï‹ëïçœâÑí∑,2016/ï‹ëïó¶,2017/é¿âÑí∑,2017/ï‹ëïçœâÑí∑,2017/ï‹ëïó¶,2018/é¿âÑí∑,2018/ï‹ëïçœâÑí∑,2018/ï‹ëïó¶,2019/é¿âÑí∑,2019/ï‹ëïçœâÑí∑,2019/ï‹ëïó¶,2020/é¿âÑí∑,2020/ï‹ëïçœâÑí∑,2020/ï‹ëïó¶,2021/é¿âÑí∑,2021/ï‹ëïçœâÑí∑,2021/ï‹ëïó¶,2022/é¿âÑí∑,2022/ï‹ëïçœâÑí∑,2022/ï‹ëïó¶,2023/é¿âÑí∑,2023/ï‹ëïçœâÑí∑,2023/ï‹ëïó¶,2024/é¿âÑí∑,2024/ï‹ëïçœâÑí∑,2025/ï‹ëïó¶
01ñkäCìπ,"84,725.0","21,436.1",25.3,"84,723.1","21,907.4",25.9,"84,712.5","21,634.0",25.5,"84,751.8","21,729.0",25.6,"84,843.1","21,850.4",25.8,"84,958.9","21,936.3",25.8,"84,967.7","21,996.9",25.9,"84,976.5","22,115.5",26.0,"85,047.0","22,180.8",26.1
02ê¬êXåß,"19,987.5","6,689.5",33.5,"20,009.9","6,724.2",33.6,"20,049.9","6,764.6",33.7,"20,097.2","6,798.2",33.8,"20,112.7","6,848.4",34.1,"20,165.5","6,876.6",34.1,"20,187.0","6,946.2",34.4,"20,194.1","6,998.8",34.7,"20,213.0","7,014.6",34.7
03ä‚éËåß,"33,366.2","6,112.4",18.3,"33,409.6","6,151.2",18.4,"33,453.3","6,196.9",18.5,"33,402.3","6,241.9",18.7,"33,461.9","6,306.2",18.8,"33,545.5","6,348.3",18.9,"33,616.0","6,446.4",19.2,"33,690.4","6,506.4",19.3,"33,728.5","6,525.4",19.3
04ã{èÈåß,"21,470.3","5,978.7",27.8,"21,519.9","6,041.3",28.1,"21,643.1","6,101.1",28.2,"21,645.6","6,193.9",28.6,"21,747.2","6,270.2",28.8,"21,766.3","6,311.0",29.0,"21,795.1","6,356.5",29.2,"21,835.7","6,427.9",29.4,"21,790.7","6,452.4",29.6
05èHìcåß,"23,869.1","4,679.4",19.6,"23,906.0","4,712.0",19.7,"23,859.2","4,738.4",19.9,"23,860.9","4,742.3",19.9,"23,891.2","4,765.2",19.9,"23,892.9","4,776.4",20.0,"23,914.5","4,793.0",20.0,"23,907.4","4,792.9",20.0,"23,915.1","4,797.6",20.1
06éRå`åß,"16,712.2","4,427.4",26.5,"16,734.5","4,446.6",26.6,"16,765.6","4,479.8",26.7,"16,812.3","4,523.1",26.9,"16,846.5","4,550.1",27.0,"16,883.4","4,576.8",27.1,"16,919.5","4,602.8",27.2,"16,944.7","4,627.7",27.3,"16,975.0","4,643.1",27.4
07ïüìáåß,"39,153.1","7,792.6",19.9,"39,173.1","7,863.2",20.1,"39,237.2","7,942.7",20.2,"39,294.3","8,067.5",20.5,"39,363.8","8,141.3",20.7,"39,436.0","8,216.5",20.8,"39,535.2","8,229.3",20.8,"39,526.4","8,349.0",21.1,"39,563.7","8,412.3",21.3
08àÔèÈåß,"55,882.2","7,844.9",14.0,"55,939.2","7,971.7",14.3,"56,008.0","8,038.2",14.4,"55,565.0","8,037.3",14.5,"55,574.6","8,070.9",14.5,"55,675.8","8,116.3",14.6,"55,656.2","8,128.8",14.6,"55,650.4","8,192.0",14.7,"55,596.9","8,196.5",14.7
09ì»ñÿåß,"25,351.8","6,106.9",24.1,"25,404.9","6,051.0",23.8,"25,432.0","6,079.1",23.9,"25,495.9","6,141.1",24.1,"25,556.9","6,107.3",23.9,"25,560.2","6,125.6",24.0,"25,606.4","6,149.7",24.0,"25,588.4","6,149.8",24.0,"25,627.1","6,181.6",24.1
10åQînåß,"35,010.9","6,276.9",17.9,"35,034.6","6,290.4",18.0,"35,051.7","6,285.7",17.9,"35,046.8","6,290.1",17.9,"35,064.1","6,288.3",17.9,"35,005.8","6,298.3",18.0,"35,007.6","6,315.9",18.0,"35,014.1","6,327.0",18.1,"34,999.8","6,330.6",18.1
11çÈã åß,"42,856.4","7,535.4",17.6,"42,951.5","7,569.3",17.6,"43,008.8","7,583.1",17.6,"42,998.6","7,588.4",17.6,"43,068.1","7,600.6",17.6,"43,094.2","7,900.8",18.3,"43,198.3","7,926.5",18.3,"43,201.7","7,924.6",18.3,"43,219.1","7,951.3",18.4
12êÁótåß,"37,184.7","9,327.9",25.1,"37,313.2","9,410.0",25.2,"37,359.8","9,424.8",25.2,"37,470.5","9,502.9",25.4,"37,558.9","9,547.4",25.4,"37,611.7","9,581.7",25.5,"37,627.3","9,587.5",25.5,"37,732.3","9,521.8",25.2,"37,756.8","9,585.0",25.4
13ìåãûìs,"24,232.4","15,601.7",64.4,"24,249.5","15,736.2",64.9,"24,260.7","15,778.6",65.0,"24,318.5","15,842.8",65.1,"24,337.5","15,875.6",65.2,"24,401.9","15,974.3",65.5,"24,423.7","15,999.7",65.5,"24,435.3","16,019.2",65.6,"24,442.8","15,595.7",63.8
14  ê_ìﬁêÏåß,"12,999.7","5,470.8",42.1,"13,014.1","5,480.1",42.1,"13,016.4","5,177.5",39.8,"13,045.2","5,191.0",39.8,"13,061.0","5,245.2",40.2,"13,053.5","5,251.0",40.2,"13,062.6","5,245.5",40.2,"13,157.6","5,271.1",40.1,"13,182.6","5,293.1",40.2
15êVäÉåß,"30,645.9","7,203.8",23.5,"30,666.0","7,212.8",23.5,"30,680.9","7,224.0",23.5,"30,683.8","7,244.2",23.6,"30,734.1","7,278.3",23.7,"30,731.3","7,286.9",23.7,"30,747.5","7,311.0",23.8,"30,746.9","7,323.9",23.8,"30,753.4","7,355.4",23.9
16ïxéRåß,"13,964.8","5,786.8",41.4,"13,974.7","5,818.4",41.6,"13,986.1","5,840.7",41.8,"14,011.4","5,886.8",42.0,"14,028.8","5,909.5",42.1,"14,044.0","5,922.0",42.2,"14,066.3","5,940.8",42.2,"14,082.7","5,957.5",42.3,"14,078.1","5,964.5",42.4
17êŒêÏåß,"13,106.0","3,590.6",27.4,"13,120.2","3,607.4",27.5,"13,136.2","3,613.2",27.5,"13,164.5","3,643.2",27.7,"13,175.6","3,655.6",27.7,"13,187.9","3,658.4",27.7,"13,207.8","3,663.4",27.7,"13,216.6","3,664.1",27.7,"13,256.8","3,705.0",27.9
18ïüà‰åß,"10,903.2","3,943.1",36.2,"10,971.5","3,958.2",36.1,"10,986.5","3,977.5",36.2,"11,022.1","4,021.8",36.5,"11,036.9","4,040.6",36.6,"10,997.4","4,046.6",36.8,"11,054.8","4,092.3",37.0,"11,112.9","4,152.0",37.4,"11,146.8","4,184.8",37.5
19éRóúåß,"11,214.4","3,191.0",28.5,"11,212.3","3,148.1",28.1,"11,244.1","3,155.1",28.1,"11,249.6","3,159.3",28.1,"11,295.9","3,185.2",28.2,"11,306.6","3,191.4",28.2,"11,320.6","3,184.8",28.1,"11,341.8","3,200.8",28.2,"11,342.3","3,189.2",28.1
20í∑ñÏåß,"47,999.5","6,886.9",14.3,"48,001.8","6,891.3",14.4,"48,044.1","6,917.2",14.4,"48,068.4","6,917.4",14.4,"48,093.2","6,936.3",14.4,"48,122.7","6,955.3",14.5,"48,130.7","6,970.6",14.5,"48,112.9","6,980.8",14.5,"48,105.7","6,990.4",14.5
21äÚïååß,"30,731.9","6,679.5",21.7,"30,762.1","6,708.1",21.8,"30,801.1","6,721.6",21.8,"30,837.3","6,755.9",21.9,"30,846.0","6,766.8",21.9,"30,889.9","6,810.8",22.0,"30,899.4","6,822.6",22.1,"30,906.6","6,859.5",22.2,"30,939.6","6,879.5",22.2
22ê√â™åß,"25,173.7","7,298.4",29.0,"25,204.3","7,323.9",29.1,"25,239.0","7,325.1",29.0,"25,258.4","7,335.6",29.0,"25,290.1","7,350.3",29.1,"25,313.5","7,348.0",29.0,"25,306.9","7,342.8",29.0,"25,342.9","7,401.6",29.2,"25,309.8","7,430.8",29.4
23à§ímåß,"43,841.4","14,556.8",33.2,"43,964.3","14,671.9",33.4,"44,012.5","14,678.0",33.3,"44,040.6","14,725.1",33.4,"44,114.2","14,804.4",33.6,"44,135.9","14,834.7",33.6,"44,171.4","14,863.2",33.6,"44,194.0","14,914.2",33.7,"44,238.4","14,987.4",33.9
24éOèdåß,"25,306.7","6,465.1",25.5,"25,337.7","6,504.8",25.7,"25,394.9","6,551.8",25.8,"25,407.5","6,568.0",25.9,"25,471.8","6,630.6",26.0,"25,485.5","6,646.0",26.1,"25,510.4","6,684.9",26.2,"25,560.6","6,683.6",26.1,"25,587.5","6,679.3",26.1
25é†âÍåß,"12,535.8","4,982.8",39.7,"12,505.8","4,993.9",39.9,"12,533.5","5,022.7",40.1,"12,549.8","5,041.7",40.2,"12,586.8","5,103.0",40.5,"12,605.0","5,076.3",40.3,"12,660.5","5,128.2",40.5,"12,707.2","5,164.7",40.6,"12,733.5","5,184.9",40.7
26ãûìsï{,"11,968.6","4,354.5",36.4,"11,989.3","4,400.2",36.7,"12,045.2","4,472.8",37.1,"12,071.7","4,508.8",37.4,"12,094.2","4,539.7",37.5,"12,109.3","4,553.1",37.6,"12,121.4","4,571.2",37.7,"12,125.4","4,584.8",37.8,"12,131.0","4,606.6",38.0
27ëÂç„ï{,"13,671.4","9,100.3",66.6,"13,726.4","9,150.3",66.7,"13,756.3","9,182.7",66.8,"13,834.6","9,242.2",66.8,"13,865.7","9,540.7",68.8,"13,906.4","9,581.4",68.9,"13,971.0","9,645.2",69.0,"14,020.1","9,686.5",69.1,"14,054.3","9,723.6",69.2
28ï∫å…åß,"30,515.9","10,861.1",35.6,"30,558.8","10,890.9",35.6,"30,610.4","10,925.6",35.7,"30,670.0","10,974.5",35.8,"30,715.3","11,019.3",35.9,"30,728.0","11,050.7",36.0,"30,791.0","11,085.6",36.0,"30,814.6","11,143.7",36.2,"30,829.8","11,180.3",36.3
29ìﬁó«åß,"12,679.6","3,820.3",30.1,"12,721.1","3,801.9",29.9,"12,767.4","3,834.1",30.0,"12,731.6","3,840.1",30.2,"12,784.2","3,847.5",30.1,"12,781.0","3,835.3",30.0,"12,798.2","3,843.7",30.0,"12,804.6","3,848.8",30.1,"12,815.6","3,854.8",30.1
30  òaâÃéRåß,"13,628.2","7,091.2",52.0,"13,735.7","7,197.1",52.4,"13,808.2","7,241.6",52.4,"13,827.8","7,245.1",52.4,"13,848.9","7,273.0",52.5,"13,851.7","7,293.8",52.7,"13,880.7","7,329.0",52.8,"13,901.1","7,365.0",53.0,"13,922.7","7,386.2",53.1
31íπéÊåß,"8,857.6","3,035.3",34.3,"8,869.7","3,052.3",34.4,"8,877.4","3,056.6",34.4,"8,897.7","3,078.6",34.6,"8,930.2","3,094.2",34.6,"8,947.3","3,112.2",34.8,"8,990.3","3,135.8",34.9,"9,010.0","3,140.5",34.9,"9,012.7","3,142.0",34.9
32ìáç™åß,"18,286.7","3,886.9",21.3,"18,294.5","3,907.4",21.4,"18,268.2","4,122.0",22.6,"18,277.4","4,142.6",22.7,"18,269.4","4,143.2",22.7,"18,297.3","4,187.0",22.9,"18,295.7","4,199.6",23.0,"18,302.6","4,224.0",23.1,"18,312.9","4,257.0",23.2
33â™éRåß,"25,673.7","5,041.2",19.6,"25,678.4","5,046.6",19.7,"25,687.9","5,061.9",19.7,"25,726.8","5,076.5",19.7,"25,768.1","5,092.9",19.8,"25,795.6","5,107.4",19.8,"25,816.8","5,117.3",19.8,"25,842.2","5,126.3",19.8,"25,882.5","5,141.2",19.9
34çLìáåß,"24,691.4","10,676.6",43.2,"24,685.0","10,829.9",43.9,"24,706.3","10,837.3",43.9,"24,744.5","10,866.8",43.9,"24,756.6","10,882.6",44.0,"24,770.8","10,897.6",44.0,"24,796.5","10,985.2",44.3,"24,818.7","10,998.0",44.3,"24,828.2","11,012.6",44.4
35éRå˚åß,"16,637.1","6,150.3",37.0,"16,658.7","6,175.3",37.1,"16,687.5","6,192.7",37.1,"16,703.8","6,209.8",37.2,"16,727.7","6,219.4",37.2,"16,751.7","6,240.1",37.3,"16,777.1","6,360.4",37.9,"16,797.9","6,368.3",37.9,"16,811.8","6,375.4",37.9
36ìøìáåß,"15,224.8","3,427.8",22.5,"15,243.6","3,438.7",22.6,"15,275.6","3,448.1",22.6,"15,288.7","3,452.8",22.6,"15,308.8","3,464.2",22.6,"15,332.8","3,468.4",22.6,"15,361.8","3,487.3",22.7,"15,387.0","3,498.1",22.7,"15,401.6","3,499.0",22.7
37çÅêÏåß,"10,284.5","2,956.0",28.7,"10,290.1","2,960.0",28.8,"10,295.5","2,966.0",28.8,"10,304.3","2,974.5",28.9,"10,317.5","2,899.6",28.1,"10,324.4","2,892.6",28.0,"10,332.9","2,894.5",28.0,"10,336.5","2,899.6",28.1,"10,362.0","2,906.5",28.0
38à§ïQåß,"18,345.3","4,152.9",22.6,"18,365.6","4,162.7",22.7,"18,398.5","4,174.4",22.7,"18,411.8","4,184.2",22.7,"18,427.3","4,191.0",22.7,"18,446.9","4,198.2",22.8,"18,434.9","4,205.0",22.8,"18,447.4","4,213.6",22.8,"18,448.6","4,219.9",22.9
39çÇímåß,"14,085.9","3,144.6",22.3,"14,147.9","3,175.0",22.4,"14,178.2","3,191.0",22.5,"14,201.9","3,200.2",22.5,"14,225.2","3,224.6",22.7,"14,303.8","3,263.7",22.8,"14,341.7","3,286.8",22.9,"14,363.1","3,310.7",23.1,"14,365.0","3,309.4",23.0
40ïüâ™åß,"29,382.1","3,882.6",13.2,"29,393.0","3,947.9",13.4,"29,479.3","3,991.3",13.5,"29,539.7","4,014.6",13.6,"29,581.1","4,047.6",13.7,"29,601.1","4,076.8",13.8,"29,641.2","4,097.1",13.8,"29,679.8","4,133.2",13.9,"29,702.9","4,172.0",14.0
41ç≤âÍåß,"10,970.7","2,895.1",26.4,"10,990.5","2,908.1",26.5,"11,001.6","3,045.5",27.7,"11,026.9","3,054.2",27.7,"11,024.9","3,096.5",28.1,"11,037.9","3,102.3",28.1,"11,050.3","3,093.4",28.0,"11,072.9","3,106.9",28.1,"11,080.0","3,112.5",28.1
42í∑çËåß,"18,037.2","6,202.9",34.4,"18,041.0","6,237.8",34.6,"18,044.3","6,240.4",34.6,"18,074.7","6,253.1",34.6,"18,078.3","6,259.1",34.6,"18,077.4","6,258.5",34.6,"18,079.6","6,265.1",34.7,"18,094.1","6,314.9",34.9,"18,117.8","6,326.6",34.9
43åFñ{åß,"22,188.6","5,976.2",26.9,"22,212.0","6,007.2",27.0,"22,240.2","6,106.1",27.5,"22,262.5","6,078.0",27.3,"22,311.8","6,122.5",27.4,"22,365.6","6,149.0",27.5,"22,393.3","6,197.5",27.7,"22,426.1","6,220.8",27.7,"22,336.8","6,200.1",27.8
44ëÂï™åß,"18,423.7","6,702.6",36.4,"18,452.1","6,737.4",36.5,"18,509.4","6,779.4",36.6,"18,538.6","6,811.6",36.7,"18,563.7","6,844.4",36.9,"18,595.9","6,858.8",36.9,"18,650.4","6,904.7",37.0,"18,649.0","6,919.1",37.1,"18,681.7","6,958.1",37.2
45ã{çËåß,"20,143.4","4,398.3",21.8,"20,152.7","4,419.9",21.9,"20,145.1","4,448.7",22.1,"20,183.4","4,489.2",22.2,"20,200.8","4,505.4",22.3,"20,212.1","4,551.0",22.5,"20,229.0","4,563.7",22.6,"20,249.9","4,584.0",22.6,"20,275.3","4,590.9",22.6
46  é≠éôìáåß,"27,283.3","6,133.3",22.5,"27,301.0","6,189.3",22.7,"27,354.3","6,190.2",22.6,"27,369.7","6,252.1",22.8,"27,403.8","6,282.0",22.9,"27,423.5","6,296.3",23.0,"27,474.1","6,329.4",23.0,"27,528.8","6,307.1",22.9,"27,518.8","6,291.5",22.9
47â´ìÍåß,"8,132.4","4,105.4",50.5,"8,145.1","4,128.2",50.7,"8,141.0","4,127.9",50.7,"8,174.2","4,179.3",51.1,"8,196.1","4,208.2",51.3,"8,208.9","4,233.5",51.6,"8,230.4","4,309.7",52.4,"8,250.2","4,308.3",52.2,"8,267.8","4,324.2",52.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
